ghl_contact_id,engagement_count,unique_channels,inbound_count,outbound_count,has_subject,first_engagement_ts,booking_created_at,booked_call_within_7d
2XWzr08IviduLvZk3pmd,2,1,0,2,1,2026-02-02T00:44:56Z,,0
2g1eAdKdLjFKYsomPJsU,2,2,2,0,0,2026-01-15T18:34:41Z,,0
5NTslGQTZcrqNVobrR4r,2,1,0,2,1,2026-02-02T20:19:43Z,,0
D3zNMWHczHZ3I7faKfrD,1,1,0,1,1,2026-02-02T20:29:43Z,,0
M5lJFxlvowYLI7oMQjlM,1,1,0,1,1,2026-02-02T20:39:38Z,,0
MtzS5S1jDgGHdnVXMe8a,1,1,0,1,1,2026-02-06T21:14:51Z,,0
MzzYoKxJuW4VkK1Zlr07,1,1,0,1,1,2026-02-02T20:05:42Z,,0
N0NIqx92NQCwc2BRwEac,1,1,0,1,1,2026-02-02T20:29:42Z,,0
O5HJEGOLam5eLfAVEiuh,1,1,0,1,1,2026-02-02T20:09:45Z,,0
Odcw6KkTw1xVEoVPBXjK,1,1,0,1,1,2026-02-04T20:59:45Z,,0
a4ShjnUJUqQpHkplZFh2,1,1,0,1,1,2026-02-02T20:39:37Z,,0
azC00pVy91trs6w1Jq0b,1,1,0,1,1,2026-02-04T20:19:48Z,,0
dpc9ozlrd3qbiaTyMOoM,1,1,0,1,1,2026-02-02T20:54:40Z,,0
gNhLcllL2rc02tegCd84,1,1,0,1,1,2026-02-04T20:45:15Z,,0
iXGrQ1iL6mjMLXYMQX4O,1,1,0,1,1,2026-02-02T20:05:46Z,,0
jsoOKR8zVSDhimuj2b8Q,3,3,2,1,1,2026-01-23T19:26:23Z,,0
jwHQZjcjY4StqwurWr55,1,1,0,1,1,2026-02-03T20:05:34Z,,0
lO8j69wYhewVUskmKpTP,2,2,2,0,0,2026-01-27T00:19:50Z,,0
liz6puXs4ULapfiiyd1G,1,1,0,1,1,2026-02-02T20:19:49Z,,0
lmMpNUjK0NZ15nh0MbIJ,3,3,1,1,1,2026-01-23T19:26:23Z,,0
mrbTpexTHyKdEtJIo2Ph,1,1,0,1,1,2026-02-02T20:09:46Z,,0
p3y8ARuklb7f4VgbhDBw,1,1,0,1,1,2026-02-04T20:35:37Z,,0
p5FZKm2HcVeguQEFsu7f,8,3,8,0,0,2026-02-05T19:17:57Z,,0
vtp2DMF8vLqJ40Sa4Zmq,1,1,0,1,1,2026-02-02T20:25:18Z,2026-02-02T20:25:20Z,1
yvPERMrvLlr1jTN7x2FT,4,1,4,0,1,2023-02-01T20:00:00Z,,0
yxwSYet0pK3zhZcBBQCb,1,1,0,1,1,2026-02-02T20:29:42Z,,0
